System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:16:18:248, 115201301779848,    0.057,   12.000, 4400,  20.137,   1.138,   0.316,  19.298,   1.091,   0.303, 38,  0,   1.645,   0.093,   0.026,   0.353,   0.020,   0.006,  65.000, 134.000, 210.000,   0.000,   0.000,   68,  11.217
15:16:18:311, 115201502584173,    0.119,   10.000, 4400,  19.243,   2.348,   0.652,  18.534,   2.256,   0.627, 38,  0,   1.517,   0.188,   0.052,   0.286,   0.038,   0.011,  65.000, 134.000, 210.000,   0.000,   0.000,   42,   7.233
15:16:18:374, 115201704629662,    0.183,    9.000, 4400,  20.135,   3.623,   1.006,  19.583,   3.496,   0.971, 41,  0,   1.258,   0.268,   0.074,   0.024,   0.039,   0.011,  65.000, 134.000, 210.000,   0.000,   0.000,  148,   0.000
15:16:18:438, 115201906654899,    0.246,    8.000, 4500,  19.042,   4.828,   1.341,  18.677,   4.678,   1.299, 44,  0,   1.268,   0.348,   0.097,   0.019,   0.041,   0.011,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:18:517, 115202159151066,    0.325,    9.000, 4500,  19.564,   6.376,   1.771,  18.857,   6.170,   1.714, 48,  0,   1.468,   0.464,   0.129,   0.310,   0.065,   0.018,  65.000, 134.000, 210.000,   0.000,   0.000,   31,   6.032
15:16:18:612, 115202463133097,    0.420,    9.000, 4300,  19.157,   8.200,   2.278,  18.359,   7.918,   2.199, 39,  0,   1.614,   0.618,   0.172,   0.358,   0.099,   0.028,  65.000, 134.000, 210.000,   0.000,   0.000,   62,  10.980
15:16:18:723, 115202818089492,    0.532,    9.000, 3900,  12.052,   9.540,   2.650,  11.449,   9.191,   2.553, 35,  0,   1.767,   0.815,   0.226,   0.200,   0.122,   0.034,  65.000, 134.000, 210.000,   0.000,   0.000,   34,   6.263
15:16:18:787, 115203021225589,    0.595,    9.000, 4500,  19.068,  10.754,   2.987,  18.269,  10.354,   2.876, 44,  0,   1.531,   0.912,   0.253,   0.334,   0.143,   0.040,  65.000, 134.000, 210.000,   0.000,   0.000,   60,   9.382
15:16:18:881, 115203322201131,    0.689,    9.000, 4500,  17.642,  12.417,   3.449,  17.011,  11.958,   3.322, 44,  0,   1.412,   1.045,   0.290,   0.267,   0.168,   0.047,  65.000, 134.000, 210.000,   0.000,   0.000,   47,   8.236
15:16:18:976, 115203624041105,    0.784,    9.000, 4400,  18.432,  14.160,   3.933,  17.969,  13.657,   3.794, 44,  0,   1.303,   1.168,   0.325,   0.084,   0.176,   0.049,  65.000, 134.000, 210.000,   0.000,   0.000,   12,   0.893
15:16:19:117, 115204076911370,    0.926,    9.000, 4500,  18.373,  16.767,   4.657,  17.874,  16.193,   4.498, 44,  0,   1.295,   1.352,   0.376,   0.080,   0.187,   0.052,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   0.577
15:16:19:211, 115204376999035,    1.020,   11.000, 4300,  19.096,  18.562,   5.156,  18.244,  17.908,   4.974, 37,  0,   1.830,   1.524,   0.423,   0.337,   0.219,   0.061,  65.000, 134.000, 210.000,   0.000,   0.000,   59,  11.204
15:16:19:275, 115204578338715,    1.083,   13.000, 4300,  23.066,  20.017,   5.560,  22.267,  19.313,   5.365, 37,  0,   2.094,   1.656,   0.460,   0.315,   0.239,   0.066,  65.000, 134.000, 210.000,   0.000,   0.000,   62,  11.327
15:16:19:338, 115204781790675,    1.147,   12.000, 4400,  21.332,  21.376,   5.938,  19.976,  20.586,   5.718, 42,  0,   2.203,   1.797,   0.499,   0.392,   0.264,   0.073,  65.000, 134.000, 210.000,   0.000,   0.000,   74,  12.252
15:16:19:417, 115205032813507,    1.225,   11.000, 4400,  18.778,  22.853,   6.348,  17.866,  21.991,   6.109, 38,  0,   2.160,   1.966,   0.546,   0.407,   0.296,   0.082,  65.000, 134.000, 210.000,   0.000,   0.000,   85,  14.660
15:16:19:480, 115205234711315,    1.289,   10.000, 4400,  18.114,  23.999,   6.666,  16.910,  23.060,   6.406, 41,  0,   2.174,   2.104,   0.584,   0.402,   0.321,   0.089,  65.000, 134.000, 210.000,   0.000,   0.000,   76,  13.512
15:16:19:544, 115205438310430,    1.352,   10.000, 4300,  17.557,  25.119,   6.977,  16.897,  24.138,   6.705, 41,  0,   2.093,   2.237,   0.622,   0.366,   0.345,   0.096,  65.000, 134.000, 210.000,   0.000,   0.000,   66,  11.759
15:16:19:623, 115205692005521,    1.432,   11.000, 4400,  20.478,  26.746,   7.430,  19.441,  25.683,   7.134, 42,  0,   2.079,   2.403,   0.667,   0.288,   0.368,   0.102,  65.000, 134.000, 210.000,   0.000,   0.000,   58,  10.343
15:16:19:687, 115205895212201,    1.496,   12.000, 4300,  19.681,  27.999,   7.778,  18.681,  26.873,   7.465, 42,  0,   2.152,   2.540,   0.705,   0.344,   0.390,   0.108,  65.000, 134.000, 210.000,   0.000,   0.000,   65,  10.177
15:16:19:751, 115206098042789,    1.559,   11.000, 4300,  20.641,  29.311,   8.142,  19.843,  28.133,   7.815, 38,  0,   2.113,   2.674,   0.743,   0.353,   0.412,   0.114,  65.000, 134.000, 210.000,   0.000,   0.000,   66,  11.824
15:16:19:829, 115206349620394,    1.638,   11.000, 4300,  19.994,  30.887,   8.580,  18.993,  29.630,   8.231, 42,  0,   2.114,   2.841,   0.789,   0.382,   0.442,   0.123,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  12.109
15:16:19:893, 115206552399515,    1.701,   11.000, 4300,  18.119,  32.038,   8.899,  17.371,  30.734,   8.537, 42,  0,   2.067,   2.972,   0.826,   0.341,   0.464,   0.129,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.911
15:16:19:956, 115206754327668,    1.765,   10.000, 4400,  19.374,  33.263,   9.240,  18.298,  31.891,   8.859, 43,  0,   2.121,   3.106,   0.863,   0.277,   0.481,   0.134,  65.000, 134.000, 210.000,   0.000,   0.000,   50,   8.966
15:16:20:036, 115207008371696,    1.844,   11.000, 4400,  21.227,  34.953,   9.709,  20.400,  33.515,   9.310, 42,  0,   2.104,   3.274,   0.909,   0.364,   0.510,   0.142,  65.000, 134.000, 210.000,   0.000,   0.000,   69,  13.274
15:16:20:099, 115207209531702,    1.907,   12.000, 4400,  21.522,  36.309,  10.086,  20.468,  34.805,   9.668, 43,  0,   2.196,   3.412,   0.948,   0.456,   0.539,   0.150,  65.000, 134.000, 210.000,   0.000,   0.000,   74,  13.073
15:16:20:163, 115207413144947,    1.971,   10.000, 4400,  18.590,  37.495,  10.415,  17.533,  35.923,   9.979, 41,  0,   2.152,   3.549,   0.986,   0.382,   0.563,   0.157,  65.000, 134.000, 210.000,   0.000,   0.000,   73,  13.065
15:16:20:242, 115207666624070,    2.050,   11.000, 4500,  19.526,  39.045,  10.846,  18.819,  37.418,  10.394, 43,  0,   2.088,   3.715,   1.032,   0.340,   0.590,   0.164,  65.000, 134.000, 210.000,   0.000,   0.000,   59,  11.271
15:16:20:305, 115207867219085,    2.113,   11.000, 4300,  20.003,  40.302,  11.195,  18.901,  38.606,  10.724, 43,  0,   2.144,   3.850,   1.069,   0.321,   0.611,   0.170,  65.000, 134.000, 210.000,   0.000,   0.000,   64,  11.075
15:16:20:369, 115208070460695,    2.177,   11.000, 4300,  20.230,  41.591,  11.553,  19.244,  39.831,  11.064, 42,  0,   2.187,   3.989,   1.108,   0.378,   0.635,   0.176,  65.000, 134.000, 210.000,   0.000,   0.000,   72,  12.930
15:16:20:448, 115208324200614,    2.257,   10.000, 4400,  18.350,  43.049,  11.958,  17.436,  41.217,  11.449, 41,  0,   2.068,   4.153,   1.154,   0.372,   0.664,   0.185,  65.000, 134.000, 210.000,   0.000,   0.000,   68,  12.597
15:16:20:511, 115208526729951,    2.320,   10.000, 4300,  18.622,  44.231,  12.286,  17.602,  42.334,  11.759, 43,  0,   2.105,   4.287,   1.191,   0.377,   0.688,   0.191,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.933
15:16:20:575, 115208728942080,    2.383,   18.000, 4300,  26.545,  45.912,  12.753,  25.590,  43.955,  12.210, 40,  0,   2.395,   4.439,   1.233,   0.529,   0.722,   0.200,  65.000, 134.000, 210.000,   0.000,   0.000,  103,  19.221
15:16:20:654, 115208981623687,    2.462,   23.000, 4300,  30.949,  48.362,  13.434,  29.579,  46.296,  12.860, 41,  0,   2.588,   4.643,   1.290,   0.587,   0.768,   0.213,  65.000, 134.000, 210.000,   0.000,   0.000,  113,  21.070
15:16:20:733, 115209234104710,    2.542,   20.000, 4300,  28.778,  50.639,  14.066,  27.179,  48.446,  13.457, 41,  0,   2.590,   4.848,   1.347,   0.613,   0.817,   0.227,  65.000, 134.000, 210.000,   0.000,   0.000,  113,  22.054
15:16:20:812, 115209487506303,    2.621,   12.000, 4300,  20.480,  52.264,  14.518,  19.287,  49.977,  13.883, 42,  0,   2.323,   5.033,   1.398,   0.609,   0.865,   0.240,  65.000, 134.000, 210.000,   0.000,   0.000,  115,  21.417
15:16:20:892, 115209739930310,    2.700,   11.000, 4300,  19.141,  53.778,  14.938,  18.276,  51.422,  14.284, 43,  0,   2.180,   5.205,   1.446,   0.398,   0.896,   0.249,  65.000, 134.000, 210.000,   0.000,   0.000,   73,  13.845
15:16:20:971, 115209993911332,    2.780,   11.000, 4400,  19.581,  55.336,  15.371,  18.369,  52.884,  14.690, 42,  0,   2.195,   5.380,   1.494,   0.399,   0.928,   0.258,  65.000, 134.000, 210.000,   0.000,   0.000,   75,  12.680
15:16:21:035, 115210198250585,    2.844,   10.000, 4300,  19.004,  56.553,  15.709,  17.995,  54.036,  15.010, 41,  0,   2.137,   5.517,   1.532,   0.413,   0.955,   0.265,  65.000, 134.000, 210.000,   0.000,   0.000,   77,  14.246
15:16:21:099, 115210401814531,    2.907,   10.000, 4500,  18.004,  57.701,  16.028,  17.174,  55.131,  15.314, 43,  0,   2.139,   5.653,   1.570,   0.424,   0.982,   0.273,  65.000, 134.000, 210.000,   0.000,   0.000,   80,  14.362
15:16:21:163, 115210605005694,    2.971,    9.000, 4300,  17.433,  58.811,  16.336,  16.415,  56.176,  15.604, 43,  0,   2.068,   5.785,   1.607,   0.385,   1.006,   0.280,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.938
15:16:21:258, 115210910148390,    3.067,   10.000, 4300,  18.614,  60.590,  16.831,  17.619,  57.860,  16.072, 42,  0,   2.083,   5.984,   1.662,   0.326,   1.037,   0.288,  65.000, 134.000, 210.000,   0.000,   0.000,   57,  10.206
15:16:21:338, 115211163402994,    3.146,   21.000, 4300,  18.909,  62.090,  17.247,  18.031,  59.291,  16.470, 44,  0,   2.382,   6.173,   1.715,   0.369,   1.067,   0.296,  65.000, 134.000, 210.000,   0.000,   0.000,   64,  10.015
15:16:21:409, 115211394131871,    3.218,   99.000, 4300,  78.836,  67.789,  18.830,  78.214,  64.944,  18.040, 50,  0,   2.853,   6.379,   1.772,   0.356,   1.092,   0.303,  65.000, 134.000, 210.000,   0.000,   0.000,   63,  10.941
15:16:21:480, 115211619110224,    3.289,  100.000, 4300,  82.509,  73.604,  20.446,  80.995,  70.653,  19.626, 52,  0,   3.130,   6.600,   1.833,   0.096,   1.099,   0.305,  65.000, 134.000, 210.000,   0.000,   0.000,   16,   2.556
15:16:21:543, 115211819566159,    3.352,   99.000, 4300,  82.374,  78.777,  21.883,  81.360,  75.762,  21.045, 54,  0,   3.036,   6.790,   1.886,   0.028,   1.101,   0.306,  65.000, 134.000, 210.000,   0.000,   0.000,    3,   0.068
15:16:21:606, 115212020821248,    3.415,   97.000, 4300,  79.891,  83.814,  23.282,  79.187,  80.755,  22.432, 55,  0,   2.755,   6.964,   1.934,   0.025,   1.103,   0.306,  65.000, 134.000, 210.000,   0.000,   0.000,  449,  56.980
15:16:21:669, 115212223239753,    3.478,   94.000, 4300,  80.142,  88.896,  24.693,  79.729,  85.811,  23.836, 56,  0,   2.896,   7.148,   1.985,   0.114,   1.110,   0.308,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   1.182
15:16:21:748, 115212473685713,    3.556,  107.000, 4300,  78.697,  95.071,  26.409,  78.207,  91.947,  25.541, 57,  0,   2.804,   7.368,   2.047,   0.107,   1.118,   0.311,  65.000, 134.000, 210.000,   0.000,   0.000,   16,   2.384
15:16:21:811, 115212678202531,    3.621,   99.000, 4300,  82.457, 100.354,  27.876,  80.692,  97.117,  26.977, 56,  0,   3.105,   7.567,   2.102,   0.171,   1.129,   0.314,  65.000, 134.000, 210.000,   0.000,   0.000,   27,   2.933
15:16:21:875, 115212881070209,    3.684,   99.000, 4300,  82.103, 105.572,  29.326,  82.165, 102.339,  28.428, 57,  0,   3.076,   7.762,   2.156,   0.056,   1.133,   0.315,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   0.524
15:16:21:938, 115213081695810,    3.747,   98.000, 4300,  82.403, 110.751,  30.764,  81.163, 107.441,  29.845, 55,  0,   3.008,   7.951,   2.209,   0.043,   1.135,   0.315,  65.000, 134.000, 210.000,   0.000,   0.000,    5,   0.218
15:16:22:001, 115213284219208,    3.810,  100.000, 4300,  80.975, 115.889,  32.191,  80.632, 112.556,  31.266, 59,  0,   2.698,   8.122,   2.256,   0.061,   1.139,   0.316,  65.000, 134.000, 210.000,   0.000,   0.000,    7,   0.434
15:16:22:070, 115213504206621,    3.879,   81.000, 4300,  73.839, 120.978,  33.605,  73.153, 117.598,  32.666, 54,  0,   2.336,   8.283,   2.301,   0.034,   1.142,   0.317,  65.000, 134.000, 210.000,   0.000,   0.000,   36,   1.580
15:16:22:222, 115213985577926,    4.030,  151.000, 4300,  68.524, 131.312,  36.475,  67.821, 127.826,  35.507, 56,  0,   1.986,   8.583,   2.384,   0.081,   1.154,   0.320,  65.000, 134.000, 210.000,   0.000,   0.000,    9,   1.777
15:16:22:285, 115214186901625,    4.093,   52.000, 4300,  49.025, 134.404,  37.334,  48.299, 130.872,  36.353, 55,  0,   1.186,   8.658,   2.405,   0.022,   1.155,   0.321,  65.000, 134.000, 210.000,   0.000,   0.000,  152,   0.000
15:16:22:364, 115214443721194,    4.174,   65.000, 3600,  23.721, 136.312,  37.864,  22.703, 132.699,  36.861, 42,  0,   3.001,   8.899,   2.472,   0.102,   1.163,   0.323,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   1.492
15:16:22:420, 115214621385012,    4.229,  101.000, 3600,  33.204, 138.160,  38.378,  32.439, 134.504,  37.362, 42,  0,   4.428,   9.146,   2.540,   0.029,   1.165,   0.324,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:16:22:475, 115214795534634,    4.284,   99.000, 3700,  34.224, 140.027,  38.897,  32.773, 136.292,  37.859, 42,  0,   4.550,   9.394,   2.609,   0.035,   1.167,   0.324,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:16:22:538, 115214995303919,    4.346,   98.000, 4300,  48.132, 143.040,  39.733,  47.828, 139.285,  38.690, 53,  0,   2.934,   9.578,   2.660,   0.190,   1.179,   0.327,  65.000, 134.000, 210.000,   0.000,   0.000,   32,   5.985
15:16:22:601, 115215195246965,    4.409,   63.000, 4300,  56.472, 146.577,  40.716,  55.406, 142.756,  39.654, 52,  0,   1.159,   9.650,   2.681,   0.019,   1.180,   0.328,  65.000, 134.000, 210.000,   0.000,   0.000,  161,   0.000
15:16:22:679, 115215448153561,    4.488,   37.000, 3500,  18.233, 148.022,  41.117,  17.704, 144.159,  40.044, 40,  0,   2.142,   9.820,   2.728,   0.151,   1.192,   0.331,  65.000, 134.000, 210.000,   0.000,   0.000,   13,   2.631
15:16:22:733, 115215618071457,    4.542,   99.000, 3500,  34.153, 149.840,  41.622,  32.428, 145.885,  40.524, 40,  0,   4.545,  10.062,   2.795,   0.065,   1.195,   0.332,  65.000, 134.000, 210.000,   0.000,   0.000,    7,   0.712
15:16:22:790, 115215800454496,    4.599,   97.000, 3600,  33.198, 151.737,  42.149,  32.089, 147.718,  41.033, 41,  0,   4.526,  10.320,   2.867,   0.018,   1.196,   0.332,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:16:22:853, 115216001759933,    4.662,  101.000, 4300,  39.447, 154.224,  42.840,  38.406, 150.141,  41.706, 48,  0,   3.845,  10.563,   2.934,   0.175,   1.208,   0.335,  65.000, 134.000, 210.000,   0.000,   0.000,   28,   5.352
