System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:16:22:916, 115216202984056,    4.725,   99.000, 4300,  61.404, 158.095,  43.915,  60.981, 153.985,  42.774, 53,  0,   1.333,  10.647,   2.957,   0.044,   1.210,   0.336,  65.000, 134.000, 210.000,   0.000,   0.000,   46,   4.849
15:16:22:980, 115216405426592,    4.788,   28.000, 4100,  31.942, 160.121,  44.478,  31.462, 155.980,  43.328, 43,  0,   1.355,  10.733,   2.981,   0.027,   1.212,   0.337,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:16:23:059, 115216658802832,    4.868,   13.000, 4500,  16.572, 161.436,  44.843,  15.381, 157.201,  43.667, 48,  0,   2.288,  10.915,   3.032,   0.174,   1.226,   0.340,  65.000, 134.000, 210.000,   0.000,   0.000,   14,   2.725
15:16:23:122, 115216860947237,    4.931,    9.000, 4500,  16.627, 162.489,  45.136,  16.305, 158.234,  43.954, 49,  0,   1.296,  10.997,   3.055,   0.027,   1.227,   0.341,  65.000, 134.000, 210.000,   0.000,   0.000,  162,   0.000
15:16:23:217, 115217163648504,    5.026,    8.000, 4500,  17.895, 164.186,  45.607,  17.484, 159.892,  44.414, 49,  0,   1.197,  11.110,   3.086,   0.019,   1.229,   0.341,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:23:312, 115217466151364,    5.121,   11.000, 4500,  17.408, 165.836,  46.066,  16.983, 161.501,  44.861, 49,  0,   1.161,  11.220,   3.117,   0.008,   1.230,   0.342,  65.000, 134.000, 210.000,   0.000,   0.000,    0,   0.000
15:16:23:407, 115217769058799,    5.215,   16.000, 4400,  26.706, 168.371,  46.770,  24.971, 163.871,  45.520, 48,  0,   3.377,  11.541,   3.206,   0.021,   1.232,   0.342,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:23:486, 115218022309180,    5.295,    9.000, 4500,  19.838, 169.944,  47.207,  18.885, 165.369,  45.936, 48,  0,   1.522,  11.661,   3.239,   0.023,   1.234,   0.343,  65.000, 134.000, 210.000,   0.000,   0.000,  102,   0.000
15:16:23:565, 115218275288883,    5.374,    8.000, 4600,  16.574, 171.258,  47.572,  16.244, 166.657,  46.294, 49,  0,   1.130,  11.751,   3.264,   0.016,   1.235,   0.343,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:23:644, 115218525963268,    5.453,    8.000, 4300,  15.504, 172.476,  47.910,  14.976, 167.833,  46.620, 42,  0,   1.484,  11.867,   3.296,   0.019,   1.237,   0.344,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:23:703, 115218714845109,    5.512,    2.000, 1100,   4.615, 172.749,  47.986,   4.210, 168.082,  46.689, 33,  0,   1.189,  11.938,   3.316,   0.021,   1.238,   0.344,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:16:23:707, 115218728649751,    5.516,    9.000, 1100,   1.821, 172.756,  47.988,   1.200, 168.087,  46.691, 33,  0,   1.115,  11.943,   3.317,   0.423,   1.240,   0.344,  65.000, 134.000, 210.000,   0.000,   0.000,   50,   0.000

Total Elapsed Time (sec) = 5.516031
Measured RDTSC Frequency (GHz) = 3.192

Cumulative Processor Energy_0 (Joules) = 172.756470
Cumulative Processor Energy_0 (mWh) = 47.987908
Average Processor Power_0 (Watt) = 31.318978

Cumulative IA Energy_0 (Joules) = 168.087036
Cumulative IA Energy_0 (mWh) = 46.690843
Average IA Power_0 (Watt) = 30.472458

Cumulative DRAM Energy_0 (Joules) = 11.942566
Cumulative DRAM Energy_0 (mWh) = 3.317379
Average DRAM Power_0 (Watt) = 2.165065

Cumulative GT Energy_0 (Joules) = 1.239746
Cumulative GT Energy_0 (mWh) = 0.344374
Average GT Power_0 (Watt) = 0.224753
