System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:15:45:375, 115096371201150,    0.058,   12.000, 4400,  19.117,   1.118,   0.311,  18.455,   1.079,   0.300, 36,  0,   1.651,   0.097,   0.027,   0.340,   0.020,   0.006,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  10.167
15:15:45:439, 115096574149312,    0.122,   10.000, 4300,  18.893,   2.319,   0.644,  18.171,   2.235,   0.621, 37,  0,   1.493,   0.191,   0.053,   0.256,   0.036,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,   42,   7.019
15:15:45:502, 115096777167703,    0.186,   10.000, 4400,  18.658,   3.506,   0.974,  18.088,   3.385,   0.940, 39,  0,   1.282,   0.273,   0.076,   0.021,   0.038,   0.010,  65.000, 134.000, 210.000,   0.000,   0.000,  146,   0.000
15:15:45:566, 115096978786028,    0.249,    8.000, 4500,  18.831,   4.695,   1.304,  18.459,   4.551,   1.264, 43,  0,   1.252,   0.352,   0.098,   0.027,   0.039,   0.011,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:45:661, 115097282618373,    0.344,    9.000, 4500,  18.947,   6.499,   1.805,  18.306,   6.293,   1.748, 47,  0,   1.433,   0.489,   0.136,   0.248,   0.063,   0.017,  65.000, 134.000, 210.000,   0.000,   0.000,   29,   5.493
15:15:45:756, 115097587143772,    0.439,    9.000, 4300,  18.063,   8.222,   2.284,  17.324,   7.946,   2.207, 39,  0,   1.647,   0.646,   0.179,   0.336,   0.095,   0.026,  65.000, 134.000, 210.000,   0.000,   0.000,   63,  11.042
15:15:45:883, 115097992137784,    0.566,   10.000, 4400,  14.082,  10.009,   2.780,  13.423,   9.649,   2.680, 45,  0,   1.752,   0.868,   0.241,   0.260,   0.128,   0.036,  65.000, 134.000, 210.000,   0.000,   0.000,   44,   8.062
15:15:45:947, 115098194807708,    0.630,    9.000, 4500,  19.038,  11.218,   3.116,  18.152,  10.802,   3.001, 43,  0,   1.442,   0.960,   0.267,   0.286,   0.146,   0.041,  65.000, 134.000, 210.000,   0.000,   0.000,   52,   9.053
15:15:46:057, 115098547759722,    0.740,    8.000, 4500,  16.599,  13.053,   3.626,  16.103,  12.582,   3.495, 43,  0,   1.330,   1.107,   0.307,   0.201,   0.168,   0.047,  65.000, 134.000, 210.000,   0.000,   0.000,   31,   5.361
15:15:46:152, 115098850986783,    0.835,    8.000, 4600,  16.581,  14.628,   4.063,  16.214,  14.123,   3.923, 44,  0,   1.172,   1.218,   0.338,   0.018,   0.170,   0.047,  65.000, 134.000, 210.000,   0.000,   0.000,  169,   0.000
15:15:46:246, 115099152078734,    0.930,    8.000, 4500,  17.318,  16.262,   4.517,  16.824,  15.710,   4.364, 44,  0,   1.178,   1.329,   0.369,   0.008,   0.171,   0.047,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
