System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:15:46:341, 115099454691774,    1.024,   11.000, 4400,  19.238,  18.086,   5.024,  18.522,  17.465,   4.852, 41,  0,   1.844,   1.504,   0.418,   0.326,   0.202,   0.056,  65.000, 134.000, 210.000,   0.000,   0.000,   30,   5.718
15:15:46:405, 115099657063851,    1.088,    9.000, 4500,  17.992,  19.226,   5.341,  16.903,  18.537,   5.149, 41,  0,   2.102,   1.637,   0.455,   0.359,   0.224,   0.062,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.788
15:15:46:468, 115099860553752,    1.152,    9.000, 4500,  17.897,  20.367,   5.658,  16.917,  19.616,   5.449, 41,  0,   2.080,   1.770,   0.492,   0.362,   0.247,   0.069,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.682
15:15:46:532, 115100062843458,    1.215,   11.000, 4300,  18.359,  21.531,   5.981,  17.496,  20.724,   5.757, 42,  0,   2.090,   1.902,   0.528,   0.267,   0.264,   0.073,  65.000, 134.000, 210.000,   0.000,   0.000,   52,   9.435
15:15:46:596, 115100266938992,    1.279,    9.000, 4300,  17.422,  22.645,   6.290,  16.337,  21.769,   6.047, 42,  0,   2.086,   2.036,   0.565,   0.346,   0.286,   0.080,  65.000, 134.000, 210.000,   0.000,   0.000,   65,   9.635
15:15:46:659, 115100470383682,    1.343,    9.000, 4500,  18.209,  23.805,   6.613,  17.191,  22.865,   6.351, 37,  0,   2.094,   2.169,   0.603,   0.360,   0.309,   0.086,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.959
15:15:46:723, 115100673583895,    1.406,    9.000, 4400,  17.697,  24.932,   6.925,  16.927,  23.942,   6.651, 41,  0,   2.047,   2.299,   0.639,   0.376,   0.333,   0.093,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.780
15:15:46:802, 115100925359198,    1.485,    9.000, 4500,  17.736,  26.331,   7.314,  16.773,  25.265,   7.018, 42,  0,   2.099,   2.465,   0.685,   0.362,   0.362,   0.101,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.888
15:15:46:882, 115101180565922,    1.565,    9.000, 4500,  17.581,  27.736,   7.705,  16.702,  26.600,   7.389, 41,  0,   2.051,   2.629,   0.730,   0.287,   0.385,   0.107,  65.000, 134.000, 210.000,   0.000,   0.000,   54,   9.744
15:15:46:946, 115101384132895,    1.629,    9.000, 4500,  17.460,  28.850,   8.014,  16.474,  27.651,   7.681, 42,  0,   2.088,   2.762,   0.767,   0.367,   0.408,   0.113,  65.000, 134.000, 210.000,   0.000,   0.000,   65,   9.736
15:15:47:025, 115101636603224,    1.708,    9.000, 4500,  17.881,  30.264,   8.407,  16.971,  28.993,   8.054, 39,  0,   2.084,   2.927,   0.813,   0.366,   0.437,   0.121,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.851
15:15:47:088, 115101839421189,    1.772,    9.000, 4300,  17.756,  31.392,   8.720,  16.930,  30.069,   8.353, 40,  0,   2.062,   3.058,   0.849,   0.354,   0.460,   0.128,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.829
15:15:47:152, 115102041746058,    1.835,    9.000, 4500,  17.869,  32.525,   9.035,  16.795,  31.134,   8.648, 41,  0,   2.098,   3.191,   0.886,   0.379,   0.484,   0.134,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.849
15:15:47:215, 115102244415952,    1.898,    9.000, 4500,  17.208,  33.617,   9.338,  16.507,  32.182,   8.939, 42,  0,   2.012,   3.319,   0.922,   0.257,   0.500,   0.139,  65.000, 134.000, 210.000,   0.000,   0.000,   51,   9.218
15:15:47:279, 115102447959130,    1.962,    9.000, 4500,  17.612,  34.741,   9.650,  16.615,  33.241,   9.234, 42,  0,   2.083,   3.451,   0.959,   0.359,   0.523,   0.145,  65.000, 134.000, 210.000,   0.000,   0.000,   66,   9.562
15:15:47:343, 115102651313154,    2.026,    9.000, 4500,  17.897,  35.881,   9.967,  16.876,  34.316,   9.532, 41,  0,   2.111,   3.586,   0.996,   0.357,   0.546,   0.152,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.835
15:15:47:406, 115102854069763,    2.089,    9.000, 4300,  17.857,  37.015,  10.282,  17.074,  35.401,   9.834, 35,  0,   2.072,   3.718,   1.033,   0.385,   0.570,   0.158,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.934
15:15:47:485, 115103106639661,    2.169,    9.000, 4500,  17.774,  38.421,  10.673,  16.885,  36.737,  10.205, 42,  0,   2.076,   3.882,   1.078,   0.372,   0.600,   0.167,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.961
15:15:47:549, 115103308824101,    2.232,    9.000, 4500,  17.774,  39.547,  10.985,  16.686,  37.794,  10.498, 41,  0,   2.077,   4.013,   1.115,   0.278,   0.617,   0.171,  65.000, 134.000, 210.000,   0.000,   0.000,   51,   9.025
15:15:47:628, 115103561876208,    2.311,    9.000, 4500,  17.949,  40.970,  11.381,  17.079,  39.148,  10.874, 41,  0,   2.065,   4.177,   1.160,   0.359,   0.646,   0.179,  65.000, 134.000, 210.000,   0.000,   0.000,   66,  10.107
15:15:47:707, 115103814589402,    2.390,    9.000, 4500,  17.514,  42.357,  11.766,  16.599,  40.462,  11.239, 41,  0,   2.070,   4.341,   1.206,   0.374,   0.675,   0.188,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.887
15:15:47:770, 115104016035089,    2.453,    9.000, 4300,  17.626,  43.469,  12.075,  16.708,  41.516,  11.532, 37,  0,   2.078,   4.472,   1.242,   0.386,   0.700,   0.194,  65.000, 134.000, 210.000,   0.000,   0.000,   68,  11.964
15:15:47:834, 115104218877326,    2.517,    9.000, 4500,  17.840,  44.603,  12.390,  16.893,  42.590,  11.831, 40,  0,   2.072,   4.604,   1.279,   0.314,   0.720,   0.200,  65.000, 134.000, 210.000,   0.000,   0.000,   55,   9.846
15:15:47:898, 115104423804164,    2.581,    9.000, 4500,  17.259,  45.711,  12.697,  16.374,  43.641,  12.123, 42,  0,   2.041,   4.735,   1.315,   0.295,   0.739,   0.205,  65.000, 134.000, 210.000,   0.000,   0.000,   61,  10.319
15:15:47:962, 115104627642005,    2.645,    9.000, 4500,  17.698,  46.841,  13.011,  16.738,  44.710,  12.419, 42,  0,   2.092,   4.868,   1.352,   0.354,   0.761,   0.211,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.979
15:15:48:025, 115104830768107,    2.709,    9.000, 4500,  18.309,  48.006,  13.335,  17.283,  45.810,  12.725, 38,  0,   2.093,   5.002,   1.389,   0.364,   0.784,   0.218,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.882
15:15:48:105, 115105084093989,    2.788,    9.000, 4300,  17.496,  49.395,  13.721,  16.618,  47.129,  13.091, 42,  0,   2.063,   5.165,   1.435,   0.368,   0.814,   0.226,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.858
15:15:48:184, 115105336705770,    2.867,    9.000, 4500,  17.636,  50.790,  14.108,  16.930,  48.468,  13.463, 42,  0,   2.038,   5.327,   1.480,   0.322,   0.839,   0.233,  65.000, 134.000, 210.000,   0.000,   0.000,   57,  10.194
15:15:48:263, 115105587609171,    2.946,    9.000, 4500,  17.487,  52.165,  14.490,  16.347,  49.753,  13.820, 39,  0,   2.068,   5.489,   1.525,   0.344,   0.866,   0.241,  65.000, 134.000, 210.000,   0.000,   0.000,   63,  10.530
15:15:48:326, 115105791664184,    3.010,    9.000, 4500,  19.053,  53.383,  14.829,  18.009,  50.905,  14.140, 39,  0,   2.158,   5.627,   1.563,   0.392,   0.891,   0.248,  65.000, 134.000, 210.000,   0.000,   0.000,   67,  11.926
15:15:48:422, 115106098404780,    3.106,   59.000, 4300,  36.826,  56.922,  15.812,  35.844,  54.349,  15.097, 47,  0,   2.514,   5.869,   1.630,   0.346,   0.924,   0.257,  65.000, 134.000, 210.000,   0.000,   0.000,   64,  11.336
15:15:48:491, 115106319055149,    3.175,  101.000, 4300,  80.166,  62.463,  17.351,  79.399,  59.838,  16.622, 50,  0,   2.825,   6.064,   1.684,   0.242,   0.941,   0.261,  65.000, 134.000, 210.000,   0.000,   0.000,   37,   6.253
15:15:48:548, 115106501680442,    3.232,   98.000, 4300,  82.548,  67.186,  18.663,  82.138,  64.537,  17.927, 52,  0,   3.011,   6.236,   1.732,   0.010,   0.942,   0.262,  65.000, 134.000, 210.000,   0.000,   0.000,  153,   0.000
15:15:48:611, 115106706015807,    3.296,  100.000, 4300,  83.520,  72.533,  20.148,  82.731,  69.833,  19.398, 53,  0,   3.122,   6.436,   1.788,   0.018,   0.943,   0.262,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:15:48:677, 115106909686028,    3.360,   99.000, 4300,  84.161,  77.903,  21.640,  82.733,  75.112,  20.864, 54,  0,   3.126,   6.635,   1.843,   0.103,   0.949,   0.264,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   1.513
15:15:48:740, 115107114552455,    3.424,   99.000, 4300,  83.229,  83.244,  23.123,  82.633,  80.415,  22.338, 56,  0,   3.070,   6.832,   1.898,   0.013,   0.950,   0.264,  65.000, 134.000, 210.000,   0.000,   0.000,  166,   0.000
15:15:48:798, 115107297919954,    3.482,   99.000, 4300,  83.844,  88.061,  24.461,  82.523,  85.156,  23.654, 55,  0,   3.097,   7.010,   1.947,   0.028,   0.952,   0.264,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:48:863, 115107503329007,    3.546,  100.000, 4300,  81.939,  93.334,  25.926,  81.640,  90.409,  25.114, 55,  0,   2.880,   7.196,   1.999,   0.017,   0.953,   0.265,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:15:48:916, 115107673724390,    3.599,   99.000, 4300,  82.582,  97.742,  27.151,  82.531,  94.815,  26.338, 55,  0,   3.002,   7.356,   2.043,   0.022,   0.954,   0.265,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:48:981, 115107881205209,    3.664,   99.000, 4300,  80.937, 103.003,  28.612,  80.039, 100.018,  27.783, 54,  0,   2.685,   7.530,   2.092,   0.028,   0.956,   0.266,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:15:49:050, 115108105256025,    3.735,   90.000, 4300,  71.411, 108.015,  30.004,  70.977, 105.000,  29.167, 52,  0,   2.085,   7.677,   2.132,   0.024,   0.958,   0.266,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:49:196, 115108566799421,    3.879,  114.000, 4300,  68.631, 117.939,  32.761,  67.817, 114.805,  31.890, 55,  0,   1.928,   7.956,   2.210,   0.087,   0.970,   0.270,  65.000, 134.000, 210.000,   0.000,   0.000,    9,   1.706
15:15:49:275, 115108819559752,    3.958,   37.000, 4300,  39.610, 121.076,  33.632,  38.945, 117.889,  32.747, 45,  0,   1.354,   8.063,   2.240,   0.083,   0.977,   0.271,  65.000, 134.000, 210.000,   0.000,   0.000,   27,   4.849
15:15:49:354, 115109071764453,    4.037,   98.000, 3600,  30.949, 123.521,  34.311,  29.948, 120.256,  33.404, 41,  0,   3.884,   8.370,   2.325,   0.097,   0.984,   0.273,  65.000, 134.000, 210.000,   0.000,   0.000,   10,   1.665
15:15:49:417, 115109274567617,    4.101,   99.000, 3600,  34.180, 125.692,  34.915,  32.758, 122.337,  33.982, 40,  0,   4.519,   8.657,   2.405,   0.018,   0.986,   0.274,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:15:49:480, 115109473014069,    4.163,   97.000, 4300,  39.281, 128.135,  35.593,  38.346, 124.721,  34.645, 46,  0,   3.912,   8.900,   2.472,   0.150,   0.995,   0.276,  65.000, 134.000, 210.000,   0.000,   0.000,   28,   5.427
15:15:49:535, 115109649493798,    4.218,   98.000, 4300,  61.324, 131.525,  36.535,  61.190, 128.104,  35.584, 52,  0,   1.367,   8.976,   2.493,   0.051,   0.998,   0.277,  65.000, 134.000, 210.000,   0.000,   0.000,   62,   6.381
15:15:49:605, 115109873944170,    4.289,   26.000, 4000,  34.194, 133.929,  37.203,  33.215, 130.439,  36.233, 41,  0,   1.316,   9.068,   2.519,   0.024,   0.999,   0.278,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:15:49:685, 115110127263153,    4.368,   99.000, 3600,  28.033, 136.154,  37.821,  27.081, 132.589,  36.830, 40,  0,   3.824,   9.372,   2.603,   0.113,   1.008,   0.280,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   1.395
15:15:49:748, 115110329478286,    4.431,   99.000, 3600,  33.169, 138.255,  38.404,  32.131, 134.624,  37.396, 40,  0,   4.480,   9.655,   2.682,   0.028,   1.010,   0.281,  65.000, 134.000, 210.000,   0.000,   0.000,    2,   0.000
15:15:49:801, 115110497021856,    4.484,   98.000, 3900,  36.849, 140.190,  38.942,  35.100, 136.466,  37.907, 43,  0,   4.433,   9.888,   2.747,   0.320,   1.027,   0.285,  65.000, 134.000, 210.000,   0.000,   0.000,   51,   9.930
15:15:49:858, 115110679264592,    4.541,   96.000, 4300,  57.783, 143.489,  39.858,  57.455, 139.747,  38.819, 52,  0,   1.568,   9.978,   2.772,   0.053,   1.030,   0.286,  65.000, 134.000, 210.000,   0.000,   0.000,   29,   3.536
15:15:49:921, 115110881654268,    4.604,   32.000, 4300,  39.988, 146.024,  40.562,  39.474, 142.250,  39.514, 45,  0,   1.164,  10.051,   2.792,   0.028,   1.032,   0.287,  65.000, 134.000, 210.000,   0.000,   0.000,    3,   0.000
15:15:50:016, 115111185764336,    4.700,   12.000, 1500,   7.032, 146.694,  40.748,   6.289, 142.849,  39.680, 33,  0,   1.623,  10.206,   2.835,   0.119,   1.043,   0.290,  65.000, 134.000, 210.000,   0.000,   0.000,   13,   2.452
15:15:50:127, 115111539710015,    4.811,   11.000, 4500,  14.350, 148.285,  41.190,  13.547, 144.351,  40.097, 47,  0,   1.941,  10.421,   2.895,   0.016,   1.045,   0.290,  65.000, 134.000, 210.000,   0.000,   0.000,   90,   0.000
15:15:50:222, 115111843619354,    4.906,    8.000, 4500,  17.212, 149.924,  41.646,  16.701, 145.941,  40.539, 48,  0,   1.221,  10.538,   2.927,   0.010,   1.046,   0.290,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:50:317, 115112145252307,    5.000,    8.000, 4500,  16.849, 151.516,  42.088,  16.547, 147.505,  40.973, 47,  0,   1.142,  10.646,   2.957,   0.010,   1.047,   0.291,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:50:412, 115112449762475,    5.096,    8.000, 4300,  17.851, 153.219,  42.561,  17.462, 149.170,  41.436, 47,  0,   1.213,  10.761,   2.989,   0.079,   1.054,   0.293,  65.000, 134.000, 210.000,   0.000,   0.000,    8,   1.494
15:15:50:522, 115112799984640,    5.205,   11.000, 4600,  18.149, 155.210,  43.114,  17.727, 151.115,  41.977, 47,  0,   1.151,  10.888,   3.024,   0.014,   1.056,   0.293,  65.000, 134.000, 210.000,   0.000,   0.000,    1,   0.000
15:15:50:649, 115113204865054,    5.332,   13.000, 4300,  23.814, 158.231,  43.953,  22.133, 153.923,  42.756, 40,  0,   2.943,  11.261,   3.128,   0.013,   1.058,   0.294,  65.000, 134.000, 210.000,   0.000,   0.000,    0,   0.000
15:15:50:716, 115113420415222,    5.400,    2.000, 1100,   6.521, 158.671,  44.075,   5.971, 154.326,  42.868, 32,  0,   1.274,  11.347,   3.152,   0.022,   1.059,   0.294,  65.000, 134.000, 210.000,   0.000,   0.000,    0,   0.000
15:15:50:720, 115113433406154,    5.404,    9.000, 1100,   2.205, 158.680,  44.078,   1.395, 154.332,  42.870, 32,  0,   1.170,  11.352,   3.153,   0.450,   1.061,   0.295,  65.000, 134.000, 210.000,   0.000,   0.000,   52,   0.000

Total Elapsed Time (sec) = 5.403762
Measured RDTSC Frequency (GHz) = 3.192

Cumulative Processor Energy_0 (Joules) = 158.680176
Cumulative Processor Energy_0 (mWh) = 44.077827
Average Processor Power_0 (Watt) = 29.364762

Cumulative IA Energy_0 (Joules) = 154.331665
Cumulative IA Energy_0 (mWh) = 42.869907
Average IA Power_0 (Watt) = 28.560043

Cumulative DRAM Energy_0 (Joules) = 11.351685
Cumulative DRAM Energy_0 (mWh) = 3.153246
Average DRAM Power_0 (Watt) = 2.100700

Cumulative GT Energy_0 (Joules) = 1.060852
Cumulative GT Energy_0 (mWh) = 0.294681
Average GT Power_0 (Watt) = 0.196317
